user_id,唯一ID,amount,merchant,category,payment_method,description
1,2025-07-24 06:46,16.02,图书馆,教育,支付宝,图书馆课程
1,2025-07-24 07:28,35.65,书店,教育,现金,书店学习
1,2025-07-25 06:50,9.06,地铁,交通,微信,地铁费用
1,2025-07-25 11:30,95.51,书店,教育,现金,书店课程
1,2025-07-26 10:58,212.71,京东,购物,微信,京东网购
1,2025-07-26 17:36,46.42,肯德基,餐饮,银行卡,肯德基外卖
1,2025-07-27 07:20,309.81,家乐福,购物,微信,在家乐福购物
1,2025-07-27 17:23,735.14,淘宝,购物,微信,淘宝网购
1,2025-07-28 11:34,1714.98,京东,购物,微信,京东网购
1,2025-07-28 17:14,12.32,图书馆,教育,银行卡,图书馆学习
1,2025-07-29 10:55,68.59,书店,娱乐,支付宝,书店活动
1,2025-07-29 17:29,3241.09,学校,教育,支付宝,学校课程
1,2025-07-30 16:49,4.51,共享单车,交通,银行卡,共享单车出行
1,2025-07-30 17:38,260.8,海底捞,餐饮,银行卡,海底捞外卖
1,2025-07-31 17:32,1356.95,牙科诊所,医疗,现金,牙科诊所检查
1,2025-07-31 19:10,228.58,在线课程,教育,支付宝,在线课程学习
1,2025-08-01 10:53,227.27,牙科诊所,医疗,微信,牙科诊所就诊
1,2025-08-01 11:25,356.22,中石油,交通,微信,乘坐中石油
1,2025-08-02 07:28,814.88,体检中心,医疗,银行卡,体检中心就诊
1,2025-08-02 19:23,20.06,博物馆,娱乐,微信,博物馆活动
1,2025-08-03 11:17,132.58,必胜客,餐饮,支付宝,在必胜客用餐
1,2025-08-03 17:12,10.23,出租车,交通,银行卡,出租车费用
1,2025-08-04 17:16,56.81,麦当劳,餐饮,银行卡,在麦当劳用餐
1,2025-08-04 17:33,4.81,共享单车,交通,微信,共享单车费用
1,2025-08-05 07:00,262.74,医院,医疗,现金,医院就诊
1,2025-08-05 10:53,952.16,在线课程,教育,支付宝,在线课程培训
1,2025-08-06 17:13,269.41,牙科诊所,医疗,支付宝,牙科诊所就诊
1,2025-08-06 18:58,360.44,中医馆,医疗,银行卡,中医馆检查
1,2025-08-07 07:30,1530.24,学校,教育,微信,学校培训
1,2025-08-07 16:46,422.16,眼科医院,医疗,支付宝,眼科医院就诊
1,2025-08-08 07:17,3.68,公交,交通,支付宝,公交费用
1,2025-08-08 11:31,761.74,眼科医院,医疗,现金,眼科医院检查
1,2025-08-09 07:28,772.76,学校,教育,银行卡,学校学习
1,2025-08-09 10:51,48.34,美团外卖,餐饮,现金,美团外卖外卖
1,2025-08-10 10:57,2.79,共享单车,交通,现金,共享单车出行
1,2025-08-10 17:14,465.47,中石油,交通,现金,中石油费用
1,2025-08-11 06:48,170.48,书店,教育,微信,书店学习
1,2025-08-11 11:11,58.47,书店,娱乐,现金,书店娱乐
1,2025-08-12 11:09,41.22,美团外卖,餐饮,现金,美团外卖外卖
1,2025-08-12 19:29,139.14,书店,教育,现金,书店学习
1,2025-08-13 11:03,32.33,滴滴出行,交通,微信,滴滴出行费用
1,2025-08-13 16:48,51.22,咖啡厅,餐饮,支付宝,在咖啡厅用餐
1,2025-08-14 07:39,32.99,滴滴出行,交通,支付宝,乘坐滴滴出行
1,2025-08-14 07:41,124.21,药店,医疗,微信,药店治疗
1,2025-08-15 07:11,121.74,书店,教育,银行卡,书店培训
1,2025-08-15 11:27,15.74,图书馆,教育,现金,图书馆学习
1,2025-08-16 11:17,467.3,拼多多,购物,微信,在拼多多购物
1,2025-08-16 17:14,48.35,京东,购物,微信,在京东购物
1,2025-08-17 07:27,945.4,体检中心,医疗,微信,体检中心就诊
1,2025-08-17 17:03,68.36,出租车,交通,银行卡,出租车费用
